Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
2.0,1,-5,-3.6450625000000003,0.682253125,0.49544379799073884,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-2.9628093750000004,0.6481404687500001,0.4962965560095813,1,10.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,1.6828978435546875,,0.504207145315637,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,1.6828978435546875,0.16585510782226565,0.504207145315637,1,5.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,1.8487529513769532,0.15756235243115235,0.5046217507406592,1,5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,30.400198918137516,-2.020009945906876,0.5754205436530656,1,-10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,39.10765678075883,-2.2053828390379415,0.5965418341938813,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,2.0063153038081056,0.14968423480959472,0.5050156200158094,1,5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-2.3146689062500005,,0.4971066961617639,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,36.90227394172089,-2.095113697086045,0.5912228167332365,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,-495,28.38018897223064,-1.919009448611532,0.5704780603496609,1,-10.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,2.1559995386177,-24.90779997693089,0.5053897900686244,1,-496.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,34.80716024463485,,0.5861498695559844,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.46117952361911,,0.5657696333765789,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-22.75180043831319,1.3875900219156596,0.471590879976477,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,34.80716024463485,-1.9903580122317426,0.5861498695559844,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-21.36421041639753,1.3182105208198767,0.47332010193139346,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,32.816802232403106,,0.5813135618028472,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,32.816802232403106,,0.5813135618028472,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-20.04599989557765,1.2522999947788827,0.4749634564917925,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,32.816802232403106,23.109159888379846,0.5813135618028472,1,495.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-2.3146689062500005,,0.4971066961617639,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,495,-2.3146689062500005,0.6157334453125001,0.4971066961617639,1,10.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.46117952361911,,0.5657696333765789,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-1.6989354609375005,0.584946773046875,0.49787634344398646,1,10.0,0,42,0.01,0.5,0.05,1.0
